"Easy Access to Juvenile Populations"
"Table:    Sheridan County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1995"

"counts","White","Black","American Indian","Asian","Total",
"0","266","0","3","0","269",
"1","259","1","3","4","267",
"2","276","0","3","0","279",
"3","289","0","4","0","293",
"4","276","0","8","3","287",
"5","313","2","7","2","324",
"6","329","0","4","3","336",
"7","351","0","2","0","353",
"8","326","0","7","0","333",
"9","354","0","4","0","358",
"10","402","0","5","1","408",
"11","388","0","3","2","393",
"12","428","4","6","0","438",
"13","418","2","2","0","422",
"14","442","0","10","7","459",
"15","471","1","14","1","487",
"16","427","0","7","5","439",
"17","448","0","2","6","456",
"18 to 20","993","11","11","0","1015",
"21 to 24","912","0","17","13","942",
"25 & over","16892","13","150","50","17105",
"Total","25260","34","272","97","25663",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
