"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2003"

"counts","White","Black","American Indian","Asian","Total",
"0","81","1","0","0","82",
"1","70","1","1","0","72",
"2","57","1","0","0","58",
"3","68","1","1","0","70",
"4","72","0","2","1","75",
"5","83","0","0","0","83",
"6","82","0","1","1","84",
"7","89","0","0","0","89",
"8","69","0","1","1","71",
"9","102","1","1","0","104",
"10","84","0","2","0","86",
"11","87","1","1","2","91",
"12","82","0","1","0","83",
"13","95","1","1","0","97",
"14","119","0","0","0","119",
"15","90","1","1","1","93",
"16","97","0","1","0","98",
"17","108","0","1","0","109",
"18 to 20","222","2","1","1","226",
"21 to 24","239","0","3","4","246",
"25 & over","4583","18","31","19","4651",
"Total","6579","28","50","30","6687",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
