"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","54","2","1","1","58",
"1","58","0","0","1","59",
"2","69","2","1","3","75",
"3","70","1","0","0","71",
"4","68","1","1","0","70",
"5","62","0","0","0","62",
"6","48","2","1","0","51",
"7","60","2","1","0","63",
"8","71","1","1","0","73",
"9","68","0","2","0","70",
"10","50","0","1","0","51",
"11","57","1","0","0","58",
"12","49","1","1","2","53",
"13","56","1","1","1","59",
"14","55","2","1","8","66",
"15","51","0","2","8","61",
"16","63","2","0","1","66",
"17","60","1","1","0","62",
"18 to 20","133","2","5","0","140",
"21 to 24","154","1","1","1","157",
"25 & over","3029","38","26","31","3124",
"Total","4385","60","47","57","4549",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
