"Easy Access to Juvenile Populations"
"Table:    Sublette County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","93","2","2","2","99",
"1","100","0","0","2","102",
"2","109","2","0","0","111",
"3","123","2","0","1","126",
"4","123","1","1","0","125",
"5","119","1","1","0","121",
"6","109","4","1","0","114",
"7","110","3","1","1","115",
"8","142","3","1","0","146",
"9","120","1","2","3","126",
"10","105","2","0","0","107",
"11","103","2","0","1","106",
"12","102","2","3","2","109",
"13","113","1","0","1","115",
"14","112","3","1","10","126",
"15","94","1","1","14","110",
"16","96","3","1","3","103",
"17","116","1","2","0","119",
"18 to 20","213","2","5","1","221",
"21 to 24","294","5","5","4","308",
"25 & over","6178","84","51","57","6370",
"Total","8674","125","78","102","8979",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
