"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1998"

"counts","White","Black","American Indian","Asian","Total",
"0","516","12","4","0","532",
"1","555","4","6","5","570",
"2","515","8","12","0","535",
"3","514","15","7","0","536",
"4","508","3","4","0","515",
"5","505","8","7","3","523",
"6","584","8","13","1","606",
"7","581","3","22","2","608",
"8","643","4","6","2","655",
"9","627","3","8","5","643",
"10","588","2","9","2","601",
"11","640","6","11","2","659",
"12","694","8","6","3","711",
"13","772","4","11","3","790",
"14","727","10","8","1","746",
"15","746","12","10","1","769",
"16","790","7","6","5","808",
"17","805","3","10","5","823",
"18 to 20","1929","19","27","26","2001",
"21 to 24","1798","19","18","21","1856",
"25 & over","22558","151","205","164","23078",
"Total","37595","309","410","251","38565",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
