"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","279","7","8","6","300",
"1","321","13","2","3","339",
"2","305","9","18","0","332",
"3","318","5","4","9","336",
"4","303","10","7","2","322",
"5","305","6","3","5","319",
"6","318","10","11","5","344",
"7","380","8","9","3","400",
"8","340","10","7","4","361",
"9","361","7","7","0","375",
"10","345","6","6","1","358",
"11","319","6","8","4","337",
"12","335","5","5","4","349",
"13","328","6","8","5","347",
"14","312","7","7","2","328",
"15","292","7","3","4","306",
"16","308","5","5","3","321",
"17","323","8","8","2","341",
"18 to 20","823","18","24","10","875",
"21 to 24","1049","34","15","12","1110",
"25 & over","14173","267","231","116","14787",
"Total","21837","454","396","200","22887",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
