"Easy Access to Juvenile Populations"
"Table:    Sweetwater County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","264","7","7","7","285",
"1","283","7","3","4","297",
"2","281","7","8","7","303",
"3","329","10","4","0","343",
"4","236","7","6","1","250",
"5","311","4","8","2","325",
"6","319","9","5","1","334",
"7","315","9","5","3","332",
"8","342","8","6","5","361",
"9","316","6","8","3","333",
"10","366","6","6","1","379",
"11","313","8","8","0","329",
"12","303","8","5","6","322",
"13","308","6","5","5","324",
"14","305","8","6","2","321",
"15","304","6","4","5","319",
"16","303","5","6","4","318",
"17","267","5","3","1","276",
"18 to 20","750","14","15","14","793",
"21 to 24","947","24","25","15","1011",
"25 & over","13174","161","214","174","13723",
"Total","20336","325","357","260","21278",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
