"Easy Access to Juvenile Populations"
"Table:    Teton County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2005"

"counts","White","Black","American Indian","Asian","Total",
"0","249","2","3","1","255",
"1","205","2","2","0","209",
"2","212","3","2","2","219",
"3","166","1","1","8","176",
"4","156","3","2","2","163",
"5","157","3","2","3","165",
"6","164","3","0","3","170",
"7","177","3","1","3","184",
"8","189","1","3","3","196",
"9","168","1","0","1","170",
"10","206","2","2","5","215",
"11","207","1","1","1","210",
"12","190","1","1","3","195",
"13","224","1","1","1","227",
"14","220","0","2","5","227",
"15","256","1","2","2","261",
"16","228","0","1","2","231",
"17","219","0","3","4","226",
"18 to 20","518","5","6","6","535",
"21 to 24","1183","6","12","13","1214",
"25 & over","13912","44","92","136","14184",
"Total","19206","83","139","204","19632",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
