"Easy Access to Juvenile Populations"
"Table:    Teton County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","109","3","1","1","114",
"1","111","1","1","1","114",
"2","126","1","0","0","127",
"3","123","3","1","1","128",
"4","123","2","0","0","125",
"5","125","2","0","2","129",
"6","135","2","4","1","142",
"7","127","2","2","2","133",
"8","138","2","2","5","147",
"9","126","0","2","0","128",
"10","114","0","3","2","119",
"11","105","1","0","2","108",
"12","102","2","1","2","107",
"13","110","1","2","3","116",
"14","109","4","0","2","115",
"15","90","1","1","4","96",
"16","114","1","2","0","117",
"17","87","1","1","1","90",
"18 to 20","232","4","5","9","250",
"21 to 24","434","5","7","17","463",
"25 & over","8089","66","73","129","8357",
"Total","10829","104","108","184","11225",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
