"Easy Access to Juvenile Populations"
"Table:    Teton County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","2","2",
"1","2","2",
"2","1","1",
"3","1","1",
"4","3","3",
"5","0","0",
"6","6","6",
"7","3","3",
"8","3","3",
"9","3","3",
"10","4","4",
"11","1","1",
"12","3","3",
"13","3","3",
"14","1","1",
"15","2","2",
"16","4","4",
"17","2","2",
"18 to 20","6","6",
"21 to 24","12","12",
"25 & over","169","169",
"Total","231","231",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
