"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2015"

"counts","White","Black","American Indian","Asian","Total",
"0","293","7","6","1","307",
"1","323","8","11","2","344",
"2","314","7","4","6","331",
"3","320","6","7","1","334",
"4","313","13","7","4","337",
"5","341","8","6","5","360",
"6","332","3","5","5","345",
"7","361","4","3","3","371",
"8","336","5","4","2","347",
"9","352","7","3","4","366",
"10","323","3","7","1","334",
"11","367","3","8","2","380",
"12","313","2","4","2","321",
"13","360","3","4","4","371",
"14","319","6","4","1","330",
"15","333","3","5","1","342",
"16","310","3","4","3","320",
"17","320","3","5","3","331",
"18 to 20","653","10","9","5","677",
"21 to 24","865","17","20","4","906",
"25 & over","12698","111","162","94","13065",
"Total","20146","232","288","153","20819",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
