"Easy Access to Juvenile Populations"
"Table:    Uinta County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","2","2",
"1","1","1",
"2","1","1",
"3","8","8",
"4","2","2",
"5","4","4",
"6","6","6",
"7","3","3",
"8","2","2",
"9","3","3",
"10","7","7",
"11","2","2",
"12","2","2",
"13","4","4",
"14","3","3",
"15","1","1",
"16","1","1",
"17","4","4",
"18 to 20","8","8",
"21 to 24","6","6",
"25 & over","102","102",
"Total","172","172",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
