"Easy Access to Juvenile Populations"
"Table:    Washakie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","90","90",
"1","94","94",
"2","85","85",
"3","83","83",
"4","87","87",
"5","101","101",
"6","99","99",
"7","92","92",
"8","96","96",
"9","105","105",
"10","125","125",
"11","102","102",
"12","115","115",
"13","116","116",
"14","115","115",
"15","115","115",
"16","127","127",
"17","122","122",
"18 to 20","228","228",
"21 to 24","279","279",
"25 & over","5536","5536",
"Total","7912","7912",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
