"Easy Access to Juvenile Populations"
"Table:    Washakie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","2","2",
"1","2","2",
"2","3","3",
"3","10","10",
"4","4","4",
"5","0","0",
"6","0","0",
"7","1","1",
"8","2","2",
"9","2","2",
"10","3","3",
"11","2","2",
"12","1","1",
"13","2","2",
"14","3","3",
"15","3","3",
"16","1","1",
"17","3","3",
"18 to 20","9","9",
"21 to 24","8","8",
"25 & over","85","85",
"Total","146","146",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
