"Easy Access to Juvenile Populations"
"Table:    Washakie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"

"counts","White","Black","American Indian","Asian","Total",
"0","90","2","2","1","95",
"1","94","1","2","0","97",
"2","85","4","3","0","92",
"3","83","2","10","0","95",
"4","87","3","4","1","95",
"5","101","6","0","0","107",
"6","99","3","0","0","102",
"7","92","3","1","1","97",
"8","96","2","2","4","104",
"9","105","2","2","3","112",
"10","125","1","3","1","130",
"11","102","0","2","1","105",
"12","115","1","1","2","119",
"13","116","2","2","2","122",
"14","115","0","3","0","118",
"15","115","0","3","0","118",
"16","127","1","1","2","131",
"17","122","2","3","2","129",
"18 to 20","228","3","9","4","244",
"21 to 24","279","7","8","7","301",
"25 & over","5536","51","85","50","5722",
"Total","7912","96","146","81","8235",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
