"Easy Access to Juvenile Populations"
"Table:    Washakie County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","20","0","2","1","23",
"1","16","0","2","0","18",
"2","10","1","1","0","12",
"3","19","0","6","0","25",
"4","17","0","4","0","21",
"5","22","3","0","0","25",
"6","20","1","0","0","21",
"7","21","0","1","1","23",
"8","15","0","1","1","17",
"9","24","1","2","3","30",
"10","28","0","3","0","31",
"11","21","0","2","0","23",
"12","27","0","1","1","29",
"13","14","0","1","0","15",
"14","23","0","2","0","25",
"15","22","0","2","0","24",
"16","31","0","1","1","33",
"17","19","1","3","1","24",
"18 to 20","55","1","7","2","65",
"21 to 24","61","3","4","3","71",
"25 & over","530","7","46","9","592",
"Total","1015","18","91","23","1147",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
