"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1992"

"counts","White","Black","American Indian","Asian","Total",
"0","70","0","2","0","72",
"1","81","0","0","0","81",
"2","88","0","3","0","91",
"3","85","0","1","0","86",
"4","86","0","2","0","88",
"5","93","0","0","0","93",
"6","101","0","0","0","101",
"7","115","0","0","0","115",
"8","110","0","0","0","110",
"9","124","0","5","0","129",
"10","122","0","4","0","126",
"11","135","0","1","0","136",
"12","123","0","0","0","123",
"13","132","0","0","0","132",
"14","108","0","0","0","108",
"15","127","0","0","0","127",
"16","95","0","0","0","95",
"17","97","0","3","0","100",
"18 to 20","205","0","13","0","218",
"21 to 24","217","0","6","0","223",
"25 & over","4255","0","25","4","4284",
"Total","6569","0","65","4","6638",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
