"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","32","1","0","0","33",
"1","41","1","1","0","43",
"2","56","0","1","0","57",
"3","43","1","0","0","44",
"4","52","2","2","0","56",
"5","40","0","0","1","41",
"6","41","0","2","0","43",
"7","31","0","0","0","31",
"8","42","0","0","0","42",
"9","47","2","0","0","49",
"10","48","0","3","0","51",
"11","49","0","1","0","50",
"12","53","1","1","0","55",
"13","41","1","2","2","46",
"14","43","0","3","0","46",
"15","45","0","1","0","46",
"16","32","0","0","0","32",
"17","36","0","0","0","36",
"18 to 20","115","3","4","1","123",
"21 to 24","171","10","4","1","186",
"25 & over","2621","24","47","11","2703",
"Total","3679","46","72","16","3813",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
