"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","31","1","0","0","32",
"1","32","0","0","0","32",
"2","36","1","2","0","39",
"3","48","0","5","0","53",
"4","46","0","0","0","46",
"5","41","2","0","0","43",
"6","47","1","0","1","49",
"7","43","1","2","0","46",
"8","34","0","0","0","34",
"9","29","1","1","0","31",
"10","41","2","0","0","43",
"11","51","0","1","0","52",
"12","47","1","1","0","49",
"13","45","1","1","0","47",
"14","34","2","0","1","37",
"15","39","0","0","0","39",
"16","37","1","0","1","39",
"17","39","0","1","0","40",
"18 to 20","85","4","1","0","90",
"21 to 24","124","2","5","0","131",
"25 & over","2379","18","29","25","2451",
"Total","3308","38","49","28","3423",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
