"Easy Access to Juvenile Populations"
"Table:    Weston County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","0","0",
"1","1","1",
"2","3","3",
"3","5","5",
"4","2","2",
"5","0","0",
"6","2","2",
"7","2","2",
"8","0","0",
"9","1","1",
"10","3","3",
"11","2","2",
"12","2","2",
"13","3","3",
"14","3","3",
"15","1","1",
"16","0","0",
"17","1","1",
"18 to 20","5","5",
"21 to 24","9","9",
"25 & over","76","76",
"Total","121","121",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
