"Easy Access to Juvenile Populations"
"Table:    Campbell County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 1996"

"counts","White","Black","American Indian","Asian","Total",
"0","457","0","4","3","464",
"1","487","3","8","4","502",
"2","510","2","3","0","515",
"3","473","0","6","0","479",
"4","506","2","8","0","516",
"5","523","0","10","0","533",
"6","571","0","7","1","579",
"7","542","0","9","0","551",
"8","544","4","5","1","554",
"9","592","0","10","8","610",
"10","600","4","8","5","617",
"11","619","0","10","0","629",
"12","655","0","9","5","669",
"13","677","0","16","4","697",
"14","681","0","10","0","691",
"15","695","1","7","4","707",
"16","679","3","9","2","693",
"17","620","1","15","3","639",
"18 to 20","1263","3","13","0","1279",
"21 to 24","1473","3","27","12","1515",
"25 & over","18279","13","164","51","18507",
"Total","31446","39","358","103","31946",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
