"Easy Access to Juvenile Populations"
"Table:    Campbell County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Male"

"counts","White","Black","American Indian","Asian","Total",
"0","357","8","10","4","379",
"1","369","4","5","5","383",
"2","363","6","16","5","390",
"3","377","7","9","3","396",
"4","368","5","8","5","386",
"5","339","9","24","2","374",
"6","435","3","10","6","454",
"7","374","3","9","4","390",
"8","420","3","6","1","430",
"9","412","9","10","2","433",
"10","384","3","10","1","398",
"11","342","2","6","3","353",
"12","390","5","6","1","402",
"13","355","7","9","5","376",
"14","345","5","7","3","360",
"15","358","4","8","2","372",
"16","357","6","16","4","383",
"17","343","2","7","3","355",
"18 to 20","787","25","18","9","839",
"21 to 24","1271","26","35","19","1351",
"25 & over","15566","152","267","120","16105",
"Total","24312","294","496","207","25309",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
