"Easy Access to Juvenile Populations"
"Table:    Campbell County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = American Indian"

"counts","American Indian","Total",
"0","20","20",
"1","13","13",
"2","23","23",
"3","25","25",
"4","14","14",
"5","30","30",
"6","17","17",
"7","18","18",
"8","16","16",
"9","17","17",
"10","16","16",
"11","14","14",
"12","12","12",
"13","18","18",
"14","14","14",
"15","14","14",
"16","23","23",
"17","13","13",
"18 to 20","35","35",
"21 to 24","67","67",
"25 & over","473","473",
"Total","892","892",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
