"Easy Access to Juvenile Populations"
"Table:    Carbon County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2002"

"counts","White","Black","American Indian","Asian","Total",
"0","167","0","5","3","175",
"1","176","1","5","0","182",
"2","170","3","2","1","176",
"3","191","3","4","2","200",
"4","173","3","1","1","178",
"5","177","2","4","1","184",
"6","169","4","4","1","178",
"7","171","1","3","1","176",
"8","180","1","8","2","191",
"9","175","1","5","2","183",
"10","186","2","6","4","198",
"11","211","2","2","1","216",
"12","189","2","0","1","192",
"13","201","2","3","0","206",
"14","192","3","1","4","200",
"15","222","2","4","4","232",
"16","232","3","3","3","241",
"17","242","2","6","3","253",
"18 to 20","598","7","8","5","618",
"21 to 24","728","9","15","7","759",
"25 & over","10018","69","139","92","10318",
"Total","14768","122","228","138","15256",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
