"Easy Access to Juvenile Populations"
"Table:    Carbon County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","88","1","5","1","95",
"1","98","4","4","1","107",
"2","73","1","0","1","75",
"3","86","2","4","0","92",
"4","91","0","2","0","93",
"5","119","1","3","0","123",
"6","102","1","1","1","105",
"7","98","0","1","1","100",
"8","109","4","0","0","113",
"9","105","1","3","3","112",
"10","103","3","1","1","108",
"11","81","1","1","1","84",
"12","100","2","0","0","102",
"13","110","0","0","0","110",
"14","81","3","1","0","85",
"15","93","0","1","2","96",
"16","93","4","0","1","98",
"17","100","1","2","3","106",
"18 to 20","183","4","2","2","191",
"21 to 24","269","6","7","9","291",
"25 & over","4721","47","83","64","4915",
"Total","6903","86","121","91","7201",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
