"Easy Access to Juvenile Populations"
"Table:    Carbon County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","180","180",
"1","205","205",
"2","164","164",
"3","193","193",
"4","195","195",
"5","228","228",
"6","208","208",
"7","216","216",
"8","210","210",
"9","207","207",
"10","212","212",
"11","181","181",
"12","198","198",
"13","201","201",
"14","175","175",
"15","186","186",
"16","192","192",
"17","194","194",
"18 to 20","451","451",
"21 to 24","690","690",
"25 & over","10194","10194",
"Total","14880","14880",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
