"Easy Access to Juvenile Populations"
"Table:    Carbon County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","4","4",
"1","8","8",
"2","3","3",
"3","4","4",
"4","3","3",
"5","4","4",
"6","5","5",
"7","1","1",
"8","7","7",
"9","5","5",
"10","5","5",
"11","2","2",
"12","6","6",
"13","2","2",
"14","5","5",
"15","0","0",
"16","5","5",
"17","2","2",
"18 to 20","10","10",
"21 to 24","17","17",
"25 & over","170","170",
"Total","268","268",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
