"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2013"

"counts","White","Black","American Indian","Asian","Total",
"0","178","3","5","0","186",
"1","217","4","6","0","227",
"2","166","4","6","0","176",
"3","200","2","4","1","207",
"4","205","4","2","1","212",
"5","184","4","2","0","190",
"6","201","3","2","2","208",
"7","202","3","5","2","212",
"8","214","4","3","1","222",
"9","187","4","4","0","195",
"10","176","1","5","1","183",
"11","188","3","7","1","199",
"12","202","2","1","2","207",
"13","201","0","2","5","208",
"14","202","5","5","1","213",
"15","180","2","3","0","185",
"16","181","4","3","1","189",
"17","198","6","2","0","206",
"18 to 20","457","14","6","1","478",
"21 to 24","659","9","11","3","682",
"25 & over","9288","121","114","50","9573",
"Total","13886","202","198","72","14358",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
