"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Sex = Female"

"counts","White","Black","American Indian","Asian","Total",
"0","94","3","2","0","99",
"1","96","4","3","2","105",
"2","111","5","6","0","122",
"3","92","1","4","0","97",
"4","98","1","5","0","104",
"5","84","1","1","0","86",
"6","106","4","0","1","111",
"7","97","3","0","1","101",
"8","82","0","1","0","83",
"9","105","1","1","0","107",
"10","90","5","2","0","97",
"11","105","1","1","1","108",
"12","86","0","1","0","87",
"13","84","0","0","2","86",
"14","99","1","3","0","103",
"15","93","1","0","2","96",
"16","107","2","0","4","113",
"17","103","2","0","1","106",
"18 to 20","200","5","3","0","208",
"21 to 24","273","3","6","1","283",
"25 & over","4579","31","53","40","4703",
"Total","6784","74","92","55","7005",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
