"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = White"

"counts","White","Total",
"0","203","203",
"1","209","209",
"2","207","207",
"3","184","184",
"4","204","204",
"5","163","163",
"6","190","190",
"7","210","210",
"8","183","183",
"9","198","198",
"10","204","204",
"11","205","205",
"12","175","175",
"13","160","160",
"14","195","195",
"15","189","189",
"16","208","208",
"17","200","200",
"18 to 20","403","403",
"21 to 24","597","597",
"25 & over","9242","9242",
"Total","13729","13729",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
