"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Black"

"counts","Black","Total",
"0","5","5",
"1","9","9",
"2","8","8",
"3","2","2",
"4","4","4",
"5","3","3",
"6","5","5",
"7","4","4",
"8","4","4",
"9","4","4",
"10","7","7",
"11","4","4",
"12","0","0",
"13","1","1",
"14","1","1",
"15","1","1",
"16","2","2",
"17","4","4",
"18 to 20","9","9",
"21 to 24","3","3",
"25 & over","88","88",
"Total","168","168",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
