"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Race = Asian"

"counts","Asian","Total",
"0","1","1",
"1","2","2",
"2","0","0",
"3","1","1",
"4","0","0",
"5","1","1",
"6","1","1",
"7","2","2",
"8","0","0",
"9","3","3",
"10","0","0",
"11","1","1",
"12","0","0",
"13","2","2",
"14","1","1",
"15","2","2",
"16","4","4",
"17","1","1",
"18 to 20","0","0",
"21 to 24","3","3",
"25 & over","71","71",
"Total","96","96",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
