"Easy Access to Juvenile Populations"
"Table:    Converse County, Wyoming:  Age by Race Population Estimates"
"Selecting:"
"    Year = 2016"
"    Ethnicity = Non Hispanic"

"counts","White","Black","American Indian","Asian","Total",
"0","183","3","3","1","190",
"1","188","8","4","0","200",
"2","180","6","2","0","188",
"3","156","2","6","1","165",
"4","181","3","3","0","187",
"5","147","3","2","1","153",
"6","164","4","0","1","169",
"7","184","3","0","2","189",
"8","165","3","1","0","169",
"9","175","3","2","2","182",
"10","173","5","3","0","181",
"11","186","2","4","1","193",
"12","158","0","3","0","161",
"13","138","1","3","2","144",
"14","175","0","6","1","182",
"15","165","0","0","2","167",
"16","193","2","2","3","200",
"17","180","1","1","1","183",
"18 to 20","343","4","4","0","351",
"21 to 24","538","1","6","3","548",
"25 & over","8706","82","86","63","8937",
"Total","12678","136","141","84","13039",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
