"County","Year","Age Range","White","Black","American Indian","Asian","Total"
"Big Horn",2013,"0","131","4","2","0","137"
"Big Horn",2013,"1","141","0","2","0","143"
"Big Horn",2013,"2","159","1","1","2","163"
"Big Horn",2013,"3","148","2","5","0","155"
"Big Horn",2013,"4","151","1","3","0","155"
"Big Horn",2013,"5","158","2","0","0","160"
"Big Horn",2013,"6","160","3","1","0","164"
"Big Horn",2013,"7","171","0","2","2","175"
"Big Horn",2013,"8","185","1","0","1","187"
"Big Horn",2013,"9","154","4","0","3","161"
"Big Horn",2013,"10","168","0","2","2","172"
"Big Horn",2013,"11","161","3","0","0","164"
"Big Horn",2013,"12","163","1","3","3","170"
"Big Horn",2013,"13","172","2","4","2","180"
"Big Horn",2013,"14","156","3","1","0","160"
"Big Horn",2013,"15","183","2","0","2","187"
"Big Horn",2013,"16","188","3","0","2","193"
"Big Horn",2013,"17","180","7","2","1","190"
"Big Horn",2013,"18 to 20","410","18","6","3","437"
"Big Horn",2013,"21 to 24","464","17","15","5","501"
"Big Horn",2013,"25 & over","7751","120","117","37","8025"
"Big Horn",2013,"Total","11554","194","166","65","11979"
"Laramie",2004,"0","1143","85","22","15","1265"
"Laramie",2004,"1","1090","61","15","17","1183"
"Laramie",2004,"2","1076","73","29","25","1203"
"Laramie",2004,"3","1000","74","20","21","1115"
"Laramie",2004,"4","993","74","15","17","1099"
"Laramie",2004,"5","1030","42","13","21","1106"
"Laramie",2004,"6","1006","55","20","21","1102"
"Laramie",2004,"7","1021","37","18","10","1086"
"Laramie",2004,"8","981","38","23","17","1059"
"Laramie",2004,"9","1046","55","14","13","1128"
"Laramie",2004,"10","1141","48","27","16","1232"
"Laramie",2004,"11","1216","55","28","24","1323"
"Laramie",2004,"12","1098","54","18","8","1178"
"Laramie",2004,"13","1179","44","11","15","1249"
"Laramie",2004,"14","1155","33","19","18","1225"
"Laramie",2004,"15","1142","48","20","11","1221"
"Laramie",2004,"16","1093","40","19","20","1172"
"Laramie",2004,"17","1134","26","14","19","1193"
"Laramie",2004,"18 to 20","3547","250","67","55","3919"
"Laramie",2004,"21 to 24","4748","321","96","95","5260"
"Laramie",2004,"25 & over","52579","1247","591","692","55109"
"Laramie",2004,"Total","80418","2760","1099","1150","85427"
"Campbell",2003,"0","537","5","13","3","558"
"Campbell",2003,"1","495","6","18","7","526"
"Campbell",2003,"2","524","6","17","2","549"
"Campbell",2003,"3","553","6","14","1","574"
"Campbell",2003,"4","551","5","8","4","568"
"Campbell",2003,"5","595","3","7","0","605"
"Campbell",2003,"6","531","6","9","3","549"
"Campbell",2003,"7","531","6","8","3","548"
"Campbell",2003,"8","514","5","6","3","528"
"Campbell",2003,"9","577","5","9","3","594"
"Campbell",2003,"10","574","4","12","4","594"
"Campbell",2003,"11","585","2","10","5","602"
"Campbell",2003,"12","636","5","7","2","650"
"Campbell",2003,"13","610","3","17","1","631"
"Campbell",2003,"14","608","6","8","2","624"
"Campbell",2003,"15","622","2","11","2","637"
"Campbell",2003,"16","672","2","10","3","687"
"Campbell",2003,"17","662","4","10","4","680"
"Campbell",2003,"18 to 20","1594","14","27","8","1643"
"Campbell",2003,"21 to 24","2097","9","41","14","2161"
"Campbell",2003,"25 & over","21668","55","232","123","22078"
