"Easy Access to Juvenile Populations: County Comparisons"
"Table:    Race by County in Wyoming"

"Selecting:"
"Year = 2016"    
"Age = 18 to 20"    

"counts","White","Black","American Indian","Asian","Total",
"All Counties","20113","578","811","450","21952",
"Albany County","3507","68","23","210","3808",
"Big Horn County","401","6","2","4","413",
"Campbell County","1489","36","37","7","1569",
"Carbon County","444","8","7","7","466",
"Converse County","402","9","5","0","416",
"Crook County","191","3","1","0","195",
"Fremont County","927","12","447","12","1398",
"Goshen County","576","15","8","4","603",
"Hot Springs County","109","4","1","3","117",
"Johnson County","209","6","3","2","220",
"Laramie County","3137","204","56","58","3455",
"Lincoln County","569","3","10","5","587",
"Natrona County","2478","89","66","28","2661",
"Niobrara County","64","4","1","1","70",
"Park County","1044","23","29","35","1131",
"Platte County","218","4","3","7","232",
"Sheridan County","1022","23","35","13","1093",
"Sublette County","250","4","8","1","263",
"Sweetwater County","1552","32","37","30","1651",
"Teton County","442","7","4","12","465",
"Uinta County","648","8","13","6","675",
"Washakie County","233","3","11","4","251",
"Weston County","201","7","4","1","213",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2018). "
"Easy Access to Juvenile Populations: 1990-2017. Online."
"Available: https://www.ojjdp.gov/ojstatbb/ezapop/"
