"Easy Access to Juvenile Populations"
"Table:    Wyoming:  Year by Ethnicity Population Estimates"

"counts","Non Hispanic","Hispanic","Total",
"1990","428166","25524","453690",
"1991","433106","26154","459260",
"1992","439818","26433","466251",
"1993","446016","27065","473081",
"1994","452782","27501","480283",
"1995","457348","27812","485160",
"1996","460213","27954","488167",
"1997","460431","29022","489453",
"1998","461008","29780","490788",
"1999","461434","30346","491780",
"2000","462301","31999","494300",
"2001","461701","32956","494657",
"2002","465763","34254","500017",
"2003","468029","35424","503453",
"2004","472105","37001","509106",
"2005","475579","38578","514157",
"2006","482234","40433","522667",
"2007","491854","43022","534876",
"2008","500094","45949","546043",
"2009","511082","48769","559851",
"2010","513978","50535","564513",
"2011","515970","51755","567725",
"2012","521948","54817","576765",
"2013","526600","56084","582684",
"2014","526807","56835","583642",
"2015","528773","57782","586555",
"2016","527088","58413","585501",
"Total","12952228","1052197","14004425",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2017). "
"Easy Access to Juvenile Populations: 1990-2016. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
