Report Period,Jan 2012,Feb 2012,Mar 2012,Apr 2012,May 2012,Jun 2012,Jul 2012,Aug 2012,
Total Children in Care,1,3,3,4,6,6,6,8,
Total Family-like setting,0,0,0,0,0,0,0,0,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,1,3,3,4,6,6,6,8,
Group Home,0,1,1,1,2,1,1,2,
Residential Treatment,0,1,1,1,1,1,1,1,
Psychiatric RTC,0,0,0,0,0,0,0,0,
Boys School,0,0,0,0,0,0,0,1,
Girls School,1,1,1,2,3,4,4,4,
Detention,0,0,0,0,0,0,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2012","Feb 29, 2012","Mar 31, 2012","Apr 30, 2012","May 31, 2012","Jun 30, 2012","Jul 31, 2012","Aug 31, 2012",
Report Period,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,
Total Children in Care,9,10,13,16,19,19,18,18,
Total Family-like setting,1,1,1,1,1,1,1,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,1,1,1,1,1,1,1,1,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,8,9,12,15,18,18,17,17,
Group Home,0,0,1,1,2,1,2,0,
Residential Treatment,3,3,4,4,2,2,2,2,
Psychiatric RTC,0,0,0,2,2,2,2,3,
Boys School,1,1,1,2,4,6,4,4,
Girls School,4,5,5,6,6,7,6,6,
Detention,0,0,1,0,2,0,1,2,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2012","Oct 31, 2012","Nov 30, 2012","Dec 31, 2012","Jan 31, 2013","Feb 28, 2013","Mar 31, 2013","Apr 30, 2013",
Report Period,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,
Total Children in Care,18,14,11,9,11,11,15,17,
Total Family-like setting,1,1,1,1,1,1,1,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,1,1,1,1,1,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,1,1,1,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,17,13,10,8,10,10,14,16,
Group Home,3,2,1,1,0,0,2,3,
Residential Treatment,3,3,3,3,3,2,2,1,
Psychiatric RTC,2,1,1,1,1,1,1,1,
Boys School,4,2,1,0,0,2,4,4,
Girls School,3,4,3,3,3,4,5,5,
Detention,2,1,1,0,3,1,0,2,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2013","Jun 30, 2013","Jul 31, 2013","Aug 31, 2013","Sep 30, 2013","Oct 31, 2013","Nov 30, 2013","Dec 31, 2013",
Report Period,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,
Total Children in Care,17,20,20,23,23,20,19,19,
Total Family-like setting,1,1,0,0,0,0,0,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,0,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,1,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,16,19,20,23,23,20,19,18,
Group Home,3,2,3,4,4,3,3,2,
Residential Treatment,1,3,3,5,5,5,4,4,
Psychiatric RTC,2,2,3,3,3,3,3,3,
Boys School,6,6,6,6,5,5,4,3,
Girls School,4,4,5,5,5,4,5,4,
Detention,0,1,0,0,1,0,0,2,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,1,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2014","Feb 28, 2014","Mar 31, 2014","Apr 30, 2014","May 31, 2014","Jun 30, 2014","Jul 31, 2014","Aug 31, 2014",
Report Period,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,
Total Children in Care,21,20,24,23,20,20,16,18,
Total Family-like setting,1,1,1,1,1,1,1,1,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,1,1,1,1,1,1,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,19,18,22,21,18,19,15,17,
Group Home,3,1,3,2,2,2,1,2,
Residential Treatment,5,6,5,5,5,5,3,3,
Psychiatric RTC,3,2,2,2,2,2,1,1,
Boys School,4,5,5,7,7,7,7,7,
Girls School,4,4,4,4,2,3,2,3,
Detention,0,0,2,1,0,0,0,1,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,1,0,0,0,1,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,1,1,1,1,1,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2014","Oct 31, 2014","Nov 30, 2014","Dec 31, 2014","Jan 31, 2015","Feb 28, 2015","Mar 31, 2015","Apr 30, 2015",
Report Period,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,
Total Children in Care,15,16,16,13,17,17,19,19,
Total Family-like setting,3,2,2,2,2,1,1,1,
Relative foster home,0,1,1,1,1,1,1,1,
Non-relative foster home,2,0,0,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,1,1,1,1,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,12,14,14,11,15,16,18,18,
Group Home,1,2,2,2,4,5,5,5,
Residential Treatment,1,2,1,1,1,1,1,1,
Psychiatric RTC,1,0,1,1,1,1,1,1,
Boys School,5,5,7,6,8,7,9,9,
Girls School,2,2,2,1,1,1,2,2,
Detention,1,3,1,0,0,1,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,1,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2015","Jun 30, 2015","Jul 31, 2015","Aug 31, 2015","Sep 30, 2015","Oct 31, 2015","Nov 30, 2015","Dec 31, 2015",
Report Period,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,
Total Children in Care,18,18,17,11,9,9,9,10,
Total Family-like setting,1,1,1,1,1,1,1,2,
Relative foster home,1,1,1,1,1,1,1,1,
Non-relative foster home,0,0,0,0,0,0,0,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,17,17,16,10,8,8,8,8,
Group Home,4,5,7,2,3,2,2,0,
Residential Treatment,1,1,1,3,2,3,3,3,
Psychiatric RTC,2,2,2,1,1,1,1,1,
Boys School,9,7,4,3,1,2,1,0,
Girls School,1,1,1,1,1,0,0,0,
Detention,0,1,1,0,0,0,1,3,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,1,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Jan 31, 2016","Feb 29, 2016","Mar 31, 2016","Apr 30, 2016","May 31, 2016","Jun 30, 2016","Jul 31, 2016","Aug 31, 2016",
Report Period,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,
Total Children in Care,13,13,13,13,13,15,18,17,
Total Family-like setting,2,2,2,1,0,0,0,1,
Relative foster home,1,1,1,0,0,0,0,0,
Non-relative foster home,1,1,1,1,0,0,0,1,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,11,11,11,12,13,15,18,16,
Group Home,2,2,2,2,2,2,4,3,
Residential Treatment,2,1,0,0,0,1,1,2,
Psychiatric RTC,1,1,1,1,1,1,1,1,
Boys School,2,5,5,6,7,7,7,7,
Girls School,2,2,2,3,3,2,2,2,
Detention,1,0,1,0,0,2,2,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,1,0,0,0,0,0,1,1,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"Sep 30, 2016","Oct 31, 2016","Nov 30, 2016","Dec 31, 2016","Jan 31, 2017","Feb 28, 2017","Mar 31, 2017","Apr 30, 2017",
Report Period,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,
Total Children in Care,15,12,13,12,13,15,13,14,
Total Family-like setting,2,1,1,1,2,1,1,0,
Relative foster home,0,0,0,0,0,0,0,0,
Non-relative foster home,1,1,1,1,1,1,1,0,
Pre-adoptive home,0,0,0,0,0,0,0,0,
Trial Home Visit,1,0,0,0,1,0,0,0,
Supervised Independent Living,0,0,0,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,0,0,0,
Total Group Care,13,11,12,11,11,14,12,14,
Group Home,2,0,1,1,1,1,0,2,
Residential Treatment,2,2,2,2,1,0,0,0,
Psychiatric RTC,1,1,1,1,1,1,1,1,
Boys School,7,7,7,6,6,8,8,7,
Girls School,1,1,1,1,1,3,3,4,
Detention,0,0,0,0,1,1,0,0,
Crisis Center,0,0,0,0,0,0,0,0,
Hospital,0,0,0,0,0,0,0,0,
State Hospital,0,0,0,0,0,0,0,0,
Jail,0,0,0,0,0,0,0,0,
Runaway,0,0,0,0,0,0,0,0,
Interim,0,0,0,0,0,0,0,0,
Unknown,0,0,0,0,0,0,0,0,
Date data are based,"May 31, 2017","Jun 30, 2017","Jul 31, 2017","Aug 31, 2017","Sep 30, 2017","Oct 31, 2017","Nov 30, 2017","Dec 31, 2017",
Report Period,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,
Total Children in Care,15,15,15,15,15,
Total Family-like setting,0,0,0,1,1,
Relative foster home,0,0,0,1,1,
Non-relative foster home,0,0,0,0,0,
Pre-adoptive home,0,0,0,0,0,
Trial Home Visit,0,0,0,0,0,
Supervised Independent Living,0,0,0,0,0,
Long Term FC Non Relative,0,0,0,0,0,
Long Term FC Relative,0,0,0,0,0,
Specialized FC Non Relative,0,0,0,0,0,
Specialized FC Relative,0,0,0,0,0,
Therapeutic FC Non Relative,0,0,0,0,0,
Therapeutic FC Relative,0,0,0,0,0,
Total Group Care,15,15,15,14,14,
Group Home,1,1,1,2,3,
Residential Treatment,0,0,0,0,0,
Psychiatric RTC,1,1,1,0,0,
Boys School,7,7,7,6,6,
Girls School,4,4,4,4,3,
Detention,2,2,2,2,2,
Crisis Center,0,0,0,0,0,
Hospital,0,0,0,0,0,
State Hospital,0,0,0,0,0,
Jail,0,0,0,0,0,
Runaway,0,0,0,0,0,
Interim,0,0,0,0,0,
Unknown,0,0,0,0,0,
Date data are based,"Jan 31, 2018","Feb 28, 2018","Mar 31, 2018","Apr 30, 2018","May 31, 2018",
