Placement Type (of those in care),,,,,,,,,,,,,,,,,,,,,
"The number/percent of children on the caseload on the last day of each report period, by the level of care they were in on that day Report Time Period: January 1, 2012 - May 31, 2018 (Monthly)",,,,,,,,,,,,,,,,,,,,,
Statewide,,,,,,,,,,,,,,,,,,,,,
Filters Active,,,,,,,,,,,,,,,,,,,,,
Report Period,Jan 2012,,Feb 2012,,,Mar 2012,,,Apr 2012,,May 2012,,,Jun 2012,,,Jul 2012,,Aug 2012,,
Total Children in Care,19,100.0%,25,,100.0%,27,100.0%,,30,100.0%,35,,100.0%,38,100.0%,,39,100.0%,47,,100.0%
Total Family-like setting,1,5.3%,2,,8.0%,2,7.4%,,3,10.0%,3,,8.6%,3,7.9%,,3,7.7%,4,,8.5%
Relative foster home,0,0.0%,1,,4.0%,1,3.7%,,1,3.3%,1,,2.9%,1,2.6%,,1,2.6%,1,,2.1%
Non-relative foster home,1,5.3%,1,,4.0%,1,3.7%,,2,6.7%,2,,5.7%,2,5.3%,,2,5.1%,3,,6.4%
Pre-adoptive home,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Trial Home Visit,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Supervised Independent Living,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Long Term FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Specialized FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Non Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Therapeutic FC Relative,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
Total Group Care,18,94.7%,23,,92.0%,25,92.6%,,27,90.0%,32,,91.4%,35,92.1%,,36,92.3%,43,,91.5%
Group Home,6,31.6%,8,,32.0%,7,25.9%,,8,26.7%,11,,31.4%,12,31.6%,,11,28.2%,7,,14.9%
Residential Treatment,9,47.4%,11,,44.0%,12,44.4%,,13,43.3%,11,,31.4%,11,28.9%,,13,33.3%,14,,29.8%
Psychiatric RTC,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,2,,5.7%,3,7.9%,,3,7.7%,3,,6.4%
Boys School,2,10.5%,2,,8.0%,3,11.1%,,4,13.3%,3,,8.6%,3,7.9%,,3,7.7%,12,,25.5%
Girls School,0,0.0%,1,,4.0%,2,7.4%,,2,6.7%,2,,5.7%,4,10.5%,,4,10.3%,7,,14.9%
Detention,1,5.3%,1,,4.0%,1,3.7%,,0,0.0%,3,,8.6%,2,5.3%,,2,5.1%,0,,0.0%
Crisis Center,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%,0,0.0%,,0,0.0%,0,,0.0%
