begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,In school suspension,Out of school suspension,Expulsion - Services provided,Total
2014,2015,101000,Albany #1,,157,73,,230
2014,2015,201000,Big Horn #1,,35,13,,48
2014,2015,202000,Big Horn #2,,11,8,,19
2014,2015,203000,Big Horn #3,,41,23,,64
2014,2015,204000,Big Horn #4,,2,,,2
2014,2015,301000,Campbell #1,8,311,99,5,423
2014,2015,401000,Carbon #1,,223,38,,261
2014,2015,402000,Carbon #2,,17,8,,25
2014,2015,501000,Converse #1,,301,24,,325
2014,2015,502000,Converse #2,,4,33,,37
2014,2015,601000,Crook #1,,29,18,,47
2014,2015,701000,Fremont #1,1,154,88,1,244
2014,2015,702000,Fremont #2,,4,3,,7
2014,2015,706000,Fremont #6,,8,15,,23
2014,2015,714000,Fremont #14,,,6,,6
2014,2015,721000,Fremont #21,,,43,,43
2014,2015,724000,Fremont #24,,9,7,,16
2014,2015,725000,Fremont #25,5,625,294,2,926
2014,2015,738000,Fremont #38,,10,125,,135
2014,2015,801000,Goshen #1,,35,103,,138
2014,2015,901000,Hot Springs #1,,,3,,3
2014,2015,1001000,Johnson #1,,10,10,,20
2014,2015,1101000,Laramie #1,,,61,5,66
2014,2015,1102000,Laramie #2,,48,9,,57
2014,2015,1201000,Lincoln #1,,,4,,4
2014,2015,1202000,Lincoln #2,1,83,18,,102
2014,2015,1301000,Natrona #1,4,1870,1098,3,2975
2014,2015,1401000,Niobrara #1,,,2,,2
2014,2015,1501000,Park #1,,237,76,,313
2014,2015,1506000,Park #6,1,21,27,,49
2014,2015,1516000,Park #16,,,2,,2
2014,2015,1601000,Platte #1,,11,33,,44
2014,2015,1602000,Platte #2,,5,16,,21
2014,2015,1701000,Sheridan #1,,9,1,,10
2014,2015,1702000,Sheridan #2,,468,53,,521
2014,2015,1801000,Sublette #1,,37,56,,93
2014,2015,1809000,Sublette #9,,53,26,,79
2014,2015,1901000,Sweetwater #1,,368,115,,483
2014,2015,1902000,Sweetwater #2,1,532,213,,746
2014,2015,2001000,Teton #1,,116,65,,181
2014,2015,2101000,Uinta #1,,244,91,3,338
2014,2015,2104000,Uinta #4,2,31,14,,47
2014,2015,2106000,Uinta #6,,14,5,,19
2014,2015,2201000,Washakie #1,,4,19,,23
2014,2015,2202000,Washakie #2,,1,,,1
2014,2015,2307000,Weston #7,,26,,6,32
