begin,end,DISTRICT_ID,DISTRICT_NAME,Expulsion - Services not provided,Expulsion - Services provided,In school suspension,Out of school suspension,Total
2016,2017,101000,Albany #1,0,0,47,39,86
2016,2017,201000,Big Horn #1,0,0,2,4,6
2016,2017,202000,Big Horn #2,0,0,1,2,3
2016,2017,203000,Big Horn #3,0,0,17,7,24
2016,2017,204000,Big Horn #4,0,0,4,3,7
2016,2017,301000,Campbell #1,7,0,0,6,13
2016,2017,401000,Carbon #1,0,0,2,4,6
2016,2017,402000,Carbon #2,0,0,4,6,10
2016,2017,501000,Converse #1,0,0,56,4,60
2016,2017,502000,Converse #2,0,0,4,7,11
2016,2017,601000,Crook #1,0,0,0,2,2
2016,2017,701000,Fremont #1,1,1,2,14,18
2016,2017,702000,Fremont #2,0,0,0,2,2
2016,2017,706000,Fremont #6,0,0,0,8,8
2016,2017,714000,Fremont #14,0,0,2,2,4
2016,2017,721000,Fremont #21,0,1,3,5,9
2016,2017,724000,Fremont #24,0,0,3,2,5
2016,2017,725000,Fremont #25,0,2,64,124,190
2016,2017,738000,Fremont #38,0,0,0,1,1
2016,2017,801000,Goshen #1,0,0,19,25,44
2016,2017,901000,Hot Springs #1,0,0,0,0,0
2016,2017,1001000,Johnson #1,0,0,2,3,5
2016,2017,1101000,Laramie #1,3,94,0,167,264
2016,2017,1102000,Laramie #2,0,0,16,10,26
2016,2017,1201000,Lincoln #1,0,0,0,0,0
2016,2017,1202000,Lincoln #2,0,1,8,2,11
2016,2017,1301000,Natrona #1,3,43,11,3,60
2016,2017,1401000,Niobrara #1,0,0,0,0,0
2016,2017,1501000,Park #1,3,0,58,21,82
2016,2017,1506000,Park #6,0,0,11,12,23
2016,2017,1516000,Park #16,0,0,0,1,1
2016,2017,1601000,Platte #1,2,2,9,4,17
2016,2017,1602000,Platte #2,0,0,0,1,1
2016,2017,1701000,Sheridan #1,0,0,6,1,7
2016,2017,1702000,Sheridan #2,0,0,49,18,67
2016,2017,1703000,Sheridan #3,0,0,0,0,0
2016,2017,1801000,Sublette #1,1,0,21,13,35
2016,2017,1809000,Sublette #9,0,0,2,4,6
2016,2017,1901000,Sweetwater #1,0,1,80,69,150
2016,2017,1902000,Sweetwater #2,2,0,22,36,60
2016,2017,2001000,Teton #1,1,0,19,17,37
2016,2017,2101000,Uinta #1,1,1,32,20,54
2016,2017,2104000,Uinta #4,0,0,6,4,10
2016,2017,2106000,Uinta #6,0,0,3,1,4
2016,2017,2201000,Washakie #1,0,1,1,17,19
2016,2017,2202000,Washakie #2,0,0,0,1,1
2016,2017,2301000,Weston #1,0,0,0,0,0
2016,2017,2307000,Weston #7,2,0,0,2,4
